H1,Er1,W1,W2,T1,Zo
11.1,3.6,4,3.5,0.7,110.9681
11.2,3.6,4,3.5,0.7,111.3119
11.3,3.6,4,3.5,0.7,111.6528
11.4,3.6,4,3.5,0.7,111.9909
11.5,3.6,4,3.5,0.7,112.3318
11.6,3.6,4,3.5,0.7,112.6641
11.7,3.6,4,3.5,0.7,112.9937
11.8,3.6,4,3.5,0.7,113.3206
11.9,3.6,4,3.5,0.7,113.6449
12,3.6,4,3.5,0.7,113.9793
12.1,3.6,4,3.5,0.7,114.2985
12.2,3.6,4,3.5,0.7,114.6151
12.3,3.6,4,3.5,0.7,114.9277
12.4,3.6,4,3.5,0.7,115.2394
12.5,3.6,4,3.5,0.7,115.5486
12.6,3.6,4,3.5,0.7,115.8555
12.7,3.6,4,3.5,0.7,116.16
12.8,3.6,4,3.5,0.7,116.4622
12.9,3.6,4,3.5,0.7,116.7622
13,3.6,4,3.5,0.7,117.0584
13.1,3.6,4,3.5,0.7,117.3717
13.2,3.6,4,3.5,0.7,117.6651
13.3,3.6,4,3.5,0.7,117.9563
13.4,3.6,4,3.5,0.7,118.2454
13.5,3.6,4,3.5,0.7,118.5324
13.6,3.6,4,3.5,0.7,118.8174
13.7,3.6,4,3.5,0.7,119.0989
13.8,3.6,4,3.5,0.7,119.3798
13.9,3.6,4,3.5,0.7,119.6588
14,3.6,4,3.5,0.7,119.9358
14.1,3.6,4,3.5,0.7,120.211
14.2,3.6,4,3.5,0.7,120.4842
14.3,3.6,4,3.5,0.7,120.7663
14.4,3.6,4,3.5,0.7,121.0359
14.5,3.6,4,3.5,0.7,121.3023
14.6,3.6,4,3.5,0.7,121.5683
14.7,3.6,4,3.5,0.7,121.8325
14.8,3.6,4,3.5,0.7,122.0997
14.9,3.6,4,3.5,0.7,122.3604
15,3.6,4,3.5,0.7,122.6086
2,3.8,4,3.5,0.7,48.9939
2.1,3.8,4,3.5,0.7,50.4567
2.2,3.8,4,3.5,0.7,51.8498
2.3,3.8,4,3.5,0.7,53.2161
2.4,3.8,4,3.5,0.7,54.5324
2.5,3.8,4,3.5,0.7,55.8103
2.6,3.8,4,3.5,0.7,57.0485
2.7,3.8,4,3.5,0.7,58.2582
2.8,3.8,4,3.5,0.7,59.4365
2.9,3.8,4,3.5,0.7,60.5709
3,3.8,4,3.5,0.7,61.6639
3.1,3.8,4,3.5,0.7,62.7531
3.2,3.8,4,3.5,0.7,63.8038
3.3,3.8,4,3.5,0.7,64.8289
3.4,3.8,4,3.5,0.7,65.8282
3.5,3.8,4,3.5,0.7,66.8037
3.6,3.8,4,3.5,0.7,67.7673
3.7,3.8,4,3.5,0.7,68.7108
3.8,3.8,4,3.5,0.7,69.6214
3.9,3.8,4,3.5,0.7,70.5123
4,3.8,4,3.5,0.7,71.3837
4.1,3.8,4,3.5,0.7,72.2366
4.2,3.8,4,3.5,0.7,73.0684
4.3,3.8,4,3.5,0.7,73.8868
4.4,3.8,4,3.5,0.7,74.6998
4.5,3.8,4,3.5,0.7,75.4862
4.6,3.8,4,3.5,0.7,76.2574
4.7,3.8,4,3.5,0.7,77.0141
4.8,3.8,4,3.5,0.7,77.7716
4.9,3.8,4,3.5,0.7,78.5011
5,3.8,4,3.5,0.7,79.2171
5.1,3.8,4,3.5,0.7,79.9207
5.2,3.8,4,3.5,0.7,80.6122
5.3,3.8,4,3.5,0.7,81.3015
5.4,3.8,4,3.5,0.7,81.9698
5.5,3.8,4,3.5,0.7,82.6418
5.6,3.8,4,3.5,0.7,83.2886
5.7,3.8,4,3.5,0.7,83.9243
5.8,3.8,4,3.5,0.7,84.5507
5.9,3.8,4,3.5,0.7,85.1672
6,3.8,4,3.5,0.7,85.7666
6.1,3.8,4,3.5,0.7,86.3645
6.2,3.8,4,3.5,0.7,86.9759
6.3,3.8,4,3.5,0.7,87.5557
6.4,3.8,4,3.5,0.7,88.1278
6.5,3.8,4,3.5,0.7,88.6747
6.6,3.8,4,3.5,0.7,89.2303
6.7,3.8,4,3.5,0.7,89.7783
6.8,3.8,4,3.5,0.7,90.3172
6.9,3.8,4,3.5,0.7,90.8503
7,3.8,4,3.5,0.7,91.389
7.1,3.8,4,3.5,0.7,91.9082
7.2,3.8,4,3.5,0.7,92.4207
7.3,3.8,4,3.5,0.7,92.9402
7.4,3.8,4,3.5,0.7,93.4396
7.5,3.8,4,3.5,0.7,93.9328
7.6,3.8,4,3.5,0.7,94.419
7.7,3.8,4,3.5,0.7,94.9
7.8,3.8,4,3.5,0.7,95.3753
7.9,3.8,4,3.5,0.7,95.8582
8,3.8,4,3.5,0.7,96.3225
8.1,3.8,4,3.5,0.7,96.7813
8.2,3.8,4,3.5,0.7,97.2348
8.3,3.8,4,3.5,0.7,97.6821
8.4,3.8,4,3.5,0.7,98.1254
8.5,3.8,4,3.5,0.7,98.5636
8.6,3.8,4,3.5,0.7,99.008
8.7,3.8,4,3.5,0.7,99.4493
8.8,3.8,4,3.5,0.7,99.8438
8.9,3.8,4,3.5,0.7,100.2782
9,3.8,4,3.5,0.7,100.6933
9.1,3.8,4,3.5,0.7,101.1041
9.2,3.8,4,3.5,0.7,101.5107
9.3,3.8,4,3.5,0.7,101.9115
9.4,3.8,4,3.5,0.7,102.3098
9.5,3.8,4,3.5,0.7,102.704
9.6,3.8,4,3.5,0.7,103.0943
9.7,3.8,4,3.5,0.7,103.4807
9.8,3.8,4,3.5,0.7,103.8634
9.9,3.8,4,3.5,0.7,104.2566
10,3.8,4,3.5,0.7,104.6393
10.1,3.8,4,3.5,0.7,105.0111
10.2,3.8,4,3.5,0.7,105.3794
10.3,3.8,4,3.5,0.7,105.7443
10.4,3.8,4,3.5,0.7,106.1059
10.5,3.8,4,3.5,0.7,106.4641
10.6,3.8,4,3.5,0.7,106.8159
10.7,3.8,4,3.5,0.7,107.1677
10.8,3.8,4,3.5,0.7,107.5148
10.9,3.8,4,3.5,0.7,107.8736
11,3.8,4,3.5,0.7,108.2162
11.1,3.8,4,3.5,0.7,108.5558
11.2,3.8,4,3.5,0.7,108.8925
11.3,3.8,4,3.5,0.7,109.2263
11.4,3.8,4,3.5,0.7,109.5573
11.5,3.8,4,3.5,0.7,109.8911
11.6,3.8,4,3.5,0.7,110.2165
11.7,3.8,4,3.5,0.7,110.5392
